,constituency,state,Image,status,Vote,Margin,Candidate,Party
4647,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/TAMIL-2024-737.jpg,lost,3698 , -489185,TAMILSELVAN S,Bahujan Samaj Party
4648,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SWAMI-2024-465.jpg,lost,1978 , -490905,SWAMINATHAN T G,Aravor Munnetra Kazhagam
4649,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MANIK-2024-449.jpg,lost,1972 , -490911,MANI K,Chennai Youth Party
4650,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SRINI-2024-20240327073526.jpg,lost,1621 , -491262,SRINIVASAN K,Independent
4651,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VENKA-2024-474.jpg,lost,1590 , -491293,VENKATESHKUMAR M,Independent
4652,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ALBER-2024-713.jpg,lost,1423 , -491460,ALBERT FRANCIS XAVIER S,Independent
4653,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SUBRA-2024-20240327082237.jpg,lost,1195 , -491688,SUBRAMANI M,Tamilar Makkal Katchi
4654,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SHARA-2024-788.jpg,lost,1169 , -491714,SARAVANAKUMAR A,Independent
4655,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ANNAD-2024-101.jpg,lost,1160 , -491723,ANNADURAI K,Independent
4656,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ANAND-2024-1684.jpg,lost,1160 , -491723,ANAND KUMAR A,Independent
4657,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MAHAR-2024-20240327074011.jpg,lost,995 , -491888,MAHARAJAN G,Independent
4658,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VIJAY-2024-766.jpg,lost,937 , -491946,VIJAYAKUMAR K P,Anaithu India Makkal Katchi
4659,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/JAGAD-2024-20240327081858.jpg,lost,900 , -491983,JAGADHEESAN C,Viro Ke Vir Indian Party
4660,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/DEEKS-2024-20240325082847.jpg,lost,824 , -492059,DEEKSHITH M,Karunaadu Party
4661,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/RAMES-2024-1727.jpg,lost,819 , -492064,RAMESH A,Independent
4662,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/RAJES-2024-411.jpg,lost,799 , -492084,RAJESHWARI B.H.,Independent
4663,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/CHAND-2024-407.jpg,lost,792 , -492091,CHANDRAMOHAN K.M.,Independent
4664,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/DEVAP-2024-1735.jpg,lost,724 , -492159,DEVAPPA Y,Independent
4665,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VEERA-2024-751.jpg,lost,660 , -492223,VEERASAMY C,Independent
4666,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/YUVAR-2024-20240326042911.jpg,lost,405 , -492478,YUVARAJ K P U,Independent
4667,KRISHNAGIRI(9),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 9 - KRISHNAGIRI  (Tamil Nadu)

            ",img/nota.jpg,,10982 , -481901,NOTA,None of the Above
4668,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/JOTHI-2024-20240331112330.jpg,won,534906 ,+ 166816,JOTHIMANI. S,Indian National Congress
4669,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/THANG-2024-20240331112247.jpg,lost,368090 , -166816,THANGAVEL. L,All India Anna Dravida Munnetra Kazhagam
4670,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SENTH-2024-20240331112043.jpg,lost,102482 , -432424,SENTHILNATHAN. V.V,Bharatiya Janata Party
4671,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KARUP-2024-20240331112357.jpg,lost,87503 , -447403,KARUPPAIYA. R,Naam Tamilar Katchi
4672,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SANKA-2024-20240331112121.jpg,lost,2680 , -532226,SANKARAN. S,Bahujan Samaj Party
4673,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SAKTH-2024-20240331113343.jpg,lost,2413 , -532493,SAKTHIVEL. R,Independent
4674,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ABILA-2024-20240331112650.jpg,lost,1921 , -532985,ABILAZAN. N,Independent
4675,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KARTH-2024-20240331113158.jpg,lost,1809 , -533097,KARTHIKPERUMAL. R,Independent
4676,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KATHI-2024-20240331112934.jpg,lost,1448 , -533458,KATHIRAVAN. P,Independent
4677,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KARUN-2024-20240331113034.jpg,lost,1278 , -533628,KARUNAMOORTHY. S,Independent
4678,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MOHAM-2024-20240331120108.jpg,lost,938 , -533968,MOHAMED NAZEEM. S,Independent
4679,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PALAN-2024-20240331114511.jpg,lost,934 , -533972,PALANISAMY. N.A,Independent
4680,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SHANM-2024-20240331112426.jpg,lost,929 , -533977,SHANMUGAM. N,Samaniya Makkal Nala Katchi
4681,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KALAI-2024-20240331113122.jpg,lost,811 , -534095,KALAIRAJ. K,Independent
4682,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/JOTHI-2024-20240331120606.jpg,lost,808 , -534098,JOTHIMANI. A.K,Independent
4683,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KANNA-2024-20240331112855.jpg,lost,788 , -534118,KANNAN. T,Independent
4684,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/JOTHI-2024-20240331120710.jpg,lost,780 , -534126,JOTHIMANI. S,Independent
4685,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SATHA-2024-20240331113414.jpg,lost,729 , -534177,SATHASIVAM. R,Independent
4686,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MANIK-2024-20240331120015.jpg,lost,685 , -534221,MANIKANDAN. K,Independent
4687,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KOSAM-2024-20240331113234.jpg,lost,644 , -534262,KOSAMALAR. P,Independent
4688,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MURUG-2024-20240331112535.jpg,lost,630 , -534276,MURUGESAN. K,Ganasangam Party of India
4689,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MAHES-2024-20240331115856.jpg,lost,590 , -534316,MAHESWARAN. A,Independent
4690,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/REGIS-2024-20240331120344.jpg,lost,572 , -534334,REGIS THIYAGARAJAN. V.G.A,Independent
4691,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VINCE-2024-20240331112610.jpg,lost,515 , -534391,VINCENT. F,Anti Corruption Dynamic Party
4692,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/NATRA-2024-20240331114427.jpg,lost,503 , -534403,NATRAYAN. R,Independent
4693,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/BANUM-2024-20240331115549.jpg,lost,496 , -534410,BANUMATHY. S,Independent
4694,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/UMADE-2024-20240331112829.jpg,lost,453 , -534453,UMADEVI. S,Independent
4695,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VARAD-2024-20240331120414.jpg,lost,429 , -534477,VARADAN. M,Independent
4696,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MURAL-2024-20240331120145.jpg,lost,417 , -534489,MURALI. M,Independent
4697,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SAKTH-2024-20240331113310.jpg,lost,415 , -534491,SAKTHIVEL. N,Independent
4698,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/BABU-2024-20240331114735.jpg,lost,387 , -534519,BABU. G,Independent
4699,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/JAFAR-2024-20240331120516.jpg,lost,371 , -534535,JAFAR ALI. A,Independent
4700,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PRABH-2024-20240331115715.jpg,lost,354 , -534552,PRABHU. G,Independent
4701,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PALAN-2024-20240331114545.jpg,lost,350 , -534556,PALANIVEL. P,Independent
4702,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ANBAZ-2024-20240331112716.jpg,lost,339 , -534567,ANBAZHAGAN. T,Independent
4703,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MURUG-2024-20240331120218.jpg,lost,327 , -534579,MURUGESAN. P,Independent
4704,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SOWMI-2024-20240331113932.jpg,lost,310 , -534596,SOWMIYA. R,Independent
4705,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SATHI-2024-20240331113501.jpg,lost,306 , -534600,SATHISHKUMAR. S,Independent
4706,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VINOT-2024-20240331120443.jpg,lost,276 , -534630,VINOTH KUMAR. N,Independent
4707,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/DHURA-2024-20240331114149.jpg,lost,275 , -534631,DHURAIYARASAN. P,Independent
4708,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SATHI-2024-20240331113650.jpg,lost,267 , -534639,SATHIS KUMAR. C,Independent
4709,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/THIRU-2024-20240331114112.jpg,lost,258 , -534648,THIRUGNANAM. M,Independent
4710,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SATHI-2024-20240331113616.jpg,lost,244 , -534662,SATHISH. P,Independent
4711,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MAHAM-2024-20240331115823.jpg,lost,213 , -534693,MAHAMUNI. A,Independent
4712,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/RAJAP-2024-20240331120311.jpg,lost,209 , -534697,RAJAPANDIAN. K,Independent
4713,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/JOTHI-2024-20240331120746.jpg,lost,206 , -534700,JOTHIVEL. A,Independent
4714,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/BASKA-2024-20240331115618.jpg,lost,205 , -534701,BASKARAN. N,Independent
4715,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PUSHP-2024-20240331115745.jpg,lost,199 , -534707,PUSHPARAJ. N,Independent
4716,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/NAREN-2024-20240331114313.jpg,lost,197 , -534709,NARENDRAKUMAR. G,Independent
4717,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PRASA-2024-20240331115643.jpg,lost,194 , -534712,PRASANTH. S,Independent
4718,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SUBAS-2024-20240331113846.jpg,lost,186 , -534720,SUBASH MALAYALAM. T,Independent
4719,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/NAGES-2024-20240331114349.jpg,lost,185 , -534721,NAGESVARAN. P,Independent
4720,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/DANIY-2024-20240331114034.jpg,lost,165 , -534741,DANIYA. P,Independent
4721,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SIVAK-2024-20240331113813.jpg,lost,151 , -534755,SIVAKUMAR. V,Independent
4722,KARUR(23),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 23 - KARUR  (Tamil Nadu)

            ",img/nota.jpg,,8275 , -526631,NOTA,None of the Above
4723,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/MKV-2024-869.jpg,won,455053 ,+ 185896,M.K. VISHNUPRASAD,Indian National Congress
4724,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PSIV-2024-20240330065427.jpg,lost,269157 , -185896,P. SIVAKOZHUNDU,Desiya Murpokku Dravida Kazhagam
4725,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/PTHA-2024-395.jpg,lost,205244 , -249809,THANKAR BACHAN,Pattali Makkal Katchi
4726,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VMAN-2024-374.jpg,lost,57424 , -397629,V. MANIVASAGAN,Naam Tamilar Katchi
4727,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ARIVU-2024-149.jpg,lost,6500 , -448553,S. ARIVUDAINAMBI,Anti Corruption Dynamic Party
4728,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/ABAL-2024-360.jpg,lost,5450 , -449603,A. BALAJI,Independent
4729,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VTHA-2024-365.jpg,lost,3971 , -451082,V.THANIGAISELVAN,Bahujan Samaj Party
4730,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/KMAY-2024-838.jpg,lost,3702 , -451351,K. MAYAKRISHNAN,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi
4731,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/VDAK-2024-1690.jpg,lost,3419 , -451634,SU.VA. DHATSHANAMOORTHY,Independent
4732,CUDDALORE(26),"
                
                    General Election to Parliamentary Constituencies: Trends & Results June-2024
                
                Parliamentary Constituency 26 - CUDDALORE  (Tamil Nadu)

            ",https://results.eci.gov.in/uploads4/candprofile/2024/PC/E24/S22/SRAM-2024-1633.jpg,lost,3216 , -451837,S. RAMALINGAM,Independent
